timeline_step_id,timeline_id,sequence_no,source_step_no,trigger_type,trigger_actor_unit_key,time_state,clock_from_ms,clock_to_ms,actor_unit_key,action_type,target_unit_key,auto_state_after,animation_cue,hp_threshold,tolerance_ms,criticality,instruction_zh_tw,failure_if_missed,source_locator
"TLS-W810-01-001","TL-W810-01-EV084","1","1","WAVE_START","NONE","STATED","90000","90000","NONE","NO_ACTION","NONE","ON","raw_set_pattern=OOXOO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:30 OOXOO，AUTO ON；O／X圖樣不拆成逐slot動作。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-1"
"TLS-W810-01-002","TL-W810-01-EV084","2","2","CLOCK","nanaka_sum","STATED","67000","67000","nanaka_sum","NO_ACTION","NONE","ON","raw_set_pattern=OXOOO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:07 七七香（夏日）→ OXOOO；只保存角色marker與圖樣。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-2"
"TLS-W810-01-003","TL-W810-01-EV084","3","3","ANIMATION_CUE","ames_sum","STATED","59000","59000","ames_sum","USE_UB","NONE","ON","愛梅斯1技為美空充TP後最速／開眼後","UNKNOWN","UNKNOWN","CRITICAL","倒數0:59，在愛梅斯1技為美空充TP後最速施放愛梅斯UB。","若0:53雪野UB早於美空UB，來源指出0:59按得太早。","yt_w3My0QHcoTA@00:13-02:13#step-3"
"TLS-W810-01-004","TL-W810-01-EV084","4","4","SOURCE_TEXT_ONLY","misora_xmas","STATED","53000","53000","NONE","NO_ACTION","NONE","ON","美空UB後接雪野UB","UNKNOWN","UNKNOWN","UNKNOWN","來源觀察：0:53美空UB後接雪野UB；不是額外手動指令。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-4"
"TLS-W810-01-005","TL-W810-01-EV084","5","5","ANIMATION_CUE","ames_sum","STATED","48000","48000","ames_sum","USE_UB","NONE","ON","愛梅斯1技為薇歐莉特充TP後最速","UNKNOWN","UNKNOWN","CRITICAL","倒數0:48，在愛梅斯1技為薇歐莉特充TP後最速施放愛梅斯UB。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-5a"
"TLS-W810-01-006","TL-W810-01-EV084","6","5","CLOCK","NONE","STATED","48000","48000","NONE","AUTO_OFF","NONE","OFF","raw_set_pattern=OOXOO","UNKNOWN","UNKNOWN","UNKNOWN","同一來源步驟切換為OOXOO並關閉AUTO。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-5b"
"TLS-W810-01-007","TL-W810-01-EV084","7","6","BOSS_ACTION","NONE","STATED","41000","41000","NONE","NO_ACTION","NONE","OFF","Boss UB","UNKNOWN","UNKNOWN","UNKNOWN","來源世界線B於0:41發生Boss UB；不新增玩家動作。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-6"
"TLS-W810-01-008","TL-W810-01-EV084","8","7","CLOCK","yukino_orig","STATED","38000","38000","NONE","AUTO_ON","NONE","ON","raw_set_pattern=OOOOX","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:38雪野→OOOOX並開啟AUTO；只將明示AUTO ON結構化。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-7"
"TLS-W810-01-009","TL-W810-01-EV084","9","8","CLOCK","violet_isanami","STATED","17000","17000","violet_isanami","NO_ACTION","NONE","ON","raw_set_pattern=OXOOO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:17薇歐莉特（黃泉鯨命）→OXOOO；只保存角色marker與圖樣。","UNKNOWN","yt_w3My0QHcoTA@00:13-02:13#step-8"
"TLS-W810-02-001","TL-W810-02-EV085","1","1","WAVE_START","NONE","STATED","90000","90000","NONE","NO_ACTION","NONE","ON","raw_set_pattern=OXOOO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:30 OXOOO，AUTO ON；O／X圖樣不拆成逐slot動作。","UNKNOWN","yt_w3My0QHcoTA@02:14-03:48#step-1"
"TLS-W810-02-002","TL-W810-02-EV085","2","2","CLOCK","ames_sum","STATED","71000","71000","NONE","AUTO_OFF","NONE","OFF","愛梅斯marker後關閉AUTO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:11愛梅斯→AUTO OFF；不推定箭頭前的角色動作種類。","UNKNOWN","yt_w3My0QHcoTA@02:14-03:48#step-2"
"TLS-W810-02-003","TL-W810-02-EV085","3","3","BOSS_ACTION","NONE","STATED","56000","56000","NONE","NO_ACTION","NONE","OFF","Boss UB","UNKNOWN","UNKNOWN","UNKNOWN","來源世界線B於0:56發生Boss UB；不新增玩家動作。","UNKNOWN","yt_w3My0QHcoTA@02:14-03:48#step-3"
"TLS-W810-02-004","TL-W810-02-EV085","4","4","CLOCK","yukino_orig","STATED","50000","50000","NONE","AUTO_ON","NONE","ON","雪野marker後開啟AUTO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:50雪野→AUTO ON；不推定箭頭前的角色動作種類。","UNKNOWN","yt_w3My0QHcoTA@02:14-03:48#step-4"
"TLS-W810-02-005","TL-W810-02-EV085","5","5","BOSS_ACTION","NONE","STATED","39000","39000","NONE","NO_ACTION","NONE","ON","Boss UB","UNKNOWN","UNKNOWN","UNKNOWN","本影片世界線B於0:39發生Boss UB；世界線A的0:36不混入本軸。","UNKNOWN","yt_w3My0QHcoTA@02:14-03:48#step-5"
"TLS-W810-02-006","TL-W810-02-EV085","6","6","CLOCK","ames_sum","STATED","24000","24000","ames_sum","NO_ACTION","NONE","ON","raw_set_pattern=OOOOX","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:24愛梅斯→OOOOX；只保存角色marker與圖樣。","UNKNOWN","yt_w3My0QHcoTA@02:14-03:48#step-6"
"TLS-W810-03-001","TL-W810-03-EV086","1","1","WAVE_START","NONE","STATED","90000","90000","NONE","NO_ACTION","NONE","ON","raw_set_pattern=OXOOX","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:30 OXOOX，AUTO ON；圖樣語意不再細拆。","UNKNOWN","yt_w3My0QHcoTA@03:49-05:27#step-1"
"TLS-W810-04-001","TL-W810-04-EV087","1","1","WAVE_START","NONE","STATED","90000","90000","NONE","NO_ACTION","NONE","ON","raw_set_pattern=OOOXO","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:30 OOOXO，AUTO ON；圖樣語意不再細拆。","UNKNOWN","yt_w3My0QHcoTA@05:28-06:51#step-1"
"TLS-W810-05-001","TL-W810-05-EV088","1","1","WAVE_START","NONE","STATED","90000","90000","NONE","NO_ACTION","NONE","ON","raw_set_pattern=全SET","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:30全SET並全自動；OXOOO替代樣式只留於說明。","UNKNOWN","yt_w3My0QHcoTA@06:52-07:58#step-1"
"TLS-F810-05-001","TL-F810-05-EV083","1","1","SOURCE_TEXT_ONLY","NONE","STATED","90000","90000","NONE","NO_ACTION","NONE","OFF","raw_set_pattern=[〇〇〇〇〇]","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：1:30 [〇〇〇〇〇](OFF)；actor 未標示，方括號圖樣定義 UNKNOWN。","UNKNOWN","影片說明／timeline 1"
"TLS-F810-05-002","TL-F810-05-EV083","2","2","SOURCE_TEXT_ONLY","anne_grea_orig","STATED","38000","38000","anne_grea_orig","NO_ACTION","NONE","OFF","raw_set_pattern=[〇〇〇ー〇]","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:38 アングレア [〇〇〇ー〇](OFF)；僅保存角色 marker，不推定動作。","UNKNOWN","影片說明／timeline 2"
"TLS-F810-05-003","TL-F810-05-EV083","3","3","SOURCE_TEXT_ONLY","vurm_orig","STATED","27000","27000","vurm_orig","NO_ACTION","NONE","OFF","raw_set_pattern=[〇〇〇〇〇]","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:27 ヴルム [〇〇〇〇〇](OFF)；僅保存角色 marker，不推定動作。","UNKNOWN","影片說明／timeline 3"
"TLS-F810-05-004","TL-F810-05-EV083","4","4","SOURCE_TEXT_ONLY","yui_xmas","STATED","26000","26000","yui_xmas","NO_ACTION","NONE","OFF","raw_set_pattern=[〇〇〇〇ー]","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:26 ユイ [〇〇〇〇ー](OFF)；僅保存角色 marker，不推定動作。","UNKNOWN","影片說明／timeline 4"
"TLS-F810-05-005","TL-F810-05-EV083","5","5","SOURCE_TEXT_ONLY","vurm_orig","STATED","7000","7000","vurm_orig","NO_ACTION","NONE","ON","raw_set_pattern=[〇〇〇〇ー]","UNKNOWN","UNKNOWN","UNKNOWN","來源原文：0:07 ヴルム [〇〇〇〇ー](ON)；僅保存角色 marker，不推定動作。","UNKNOWN","影片說明／timeline 5"
"TLS-F810-02-001","TL-F810-02-EV073","1","1","WAVE_START","NONE","NOT_STATED","UNKNOWN","UNKNOWN","luisemarie_orig","SET_ON","NONE","ON","戰鬥開始","UNKNOWN","UNKNOWN","UNKNOWN","開場將露易絲瑪莉設為 SET。","UNKNOWN","2025年9月魔法半自動／手順1"
"TLS-F810-02-002","TL-F810-02-EV073","2","1","WAVE_START","NONE","NOT_STATED","UNKNOWN","UNKNOWN","lailael_xmas","SET_ON","NONE","ON","戰鬥開始","UNKNOWN","UNKNOWN","UNKNOWN","開場將萊拉耶爾（聖誕節）設為 SET。","UNKNOWN","2025年9月魔法半自動／手順1"
"TLS-F810-02-003","TL-F810-02-EV073","3","1","WAVE_START","NONE","NOT_STATED","UNKNOWN","UNKNOWN","croce_aerial","SET_ON","NONE","ON","戰鬥開始","UNKNOWN","UNKNOWN","UNKNOWN","開場將克蘿茜（航空）設為 SET。","UNKNOWN","2025年9月魔法半自動／手順1"
"TLS-F810-02-004","TL-F810-02-EV073","4","1","WAVE_START","NONE","NOT_STATED","UNKNOWN","UNKNOWN","shizuru_valentine","SET_ON","NONE","ON","戰鬥開始","UNKNOWN","UNKNOWN","UNKNOWN","開場將靜流（情人節）設為 SET；烏爾姆先不設 SET。","UNKNOWN","2025年9月魔法半自動／手順1"
"TLS-F810-02-005","TL-F810-02-EV073","5","2","ANIMATION_CUE","vurm_orig","STATED","70000","70000","vurm_orig","SET_ON","NONE","ON","烏爾姆 UB 結束後","UNKNOWN","UNKNOWN","UNKNOWN","倒數 1:10 左右，在烏爾姆 UB 後開啟烏爾姆 SET。","UNKNOWN","2025年9月魔法半自動／手順2"
"TLS-F810-02-006","TL-F810-02-EV073","6","3","ANIMATION_CUE","croce_aerial","STATED","62000","62000","vurm_orig","SET_OFF","NONE","ON","克蘿茜（航空）UB 結束後","UNKNOWN","UNKNOWN","UNKNOWN","倒數 1:02 左右，在克蘿茜（航空）UB 後關閉烏爾姆 SET。","UNKNOWN","2025年9月魔法半自動／手順3"
