team_id,guide_id,server,stage,slot1,slot2,slot3,slot4,slot5,support_slot,operation_mode,requirements,clear_status,stability,source_ids,evidence_ids,tw_availability_check,verified_date,last_review_due,notes
TM-W810-01,TW_DEEP_WATER_08_10_20260808,TW,8-10,yukino_orig,ames_sum,misora_xmas,nanaka_sum,violet_isanami,,MANUAL_TIMELINE,"{""failure_conditions"":[""來源全域養成：全屬性Lv1000、屬性技能第6頁第8分流MAX、大師技能118、職階全5.5；未逐slot歸屬"",""來源採本影片世界線B（0:41 Boss UB）；世界線A的0:40／0:20分支只作風險備註"",""0:59與0:48為來源標☆之目押；逐slot星級、RANK、UE與TP需求UNKNOWN""],""operation_mode_claims"":[{""mode"":""MANUAL_TIMELINE"",""source_id"":""yt_w3My0QHcoTA""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-W810-01-EV084""}",VERIFIED,單一實戰,yt_w3My0QHcoTA,ev084;ev091;ev092;ev093;ev094;ev099;ev100;ev101;ev102;ev103;ev104,PASS,2026-08-08,2026-09-30,【僅供參考】台服單一玩家實戰：HP bar清空後回到蒼波地圖且8-10顯示CLEAR；來源聲明2目押，故為MANUAL_TIMELINE；單一來源上限D，不保證其他練度或世界線穩定
TM-W810-02,TW_DEEP_WATER_08_10_20260808,TW,8-10,yukino_orig,ames_sum,sono_orig,ninon_sum,violet_isanami,,SEMI_AUTO,"{""failure_conditions"":[""來源全域養成：全屬性Lv1000、屬性技能第6頁第8分流MAX、大師技能118、職階全5.5；未逐slot歸屬"",""來源標示TP5.0+但未指明逐slot歸屬，不得拆填"",""採本影片世界線B（0:39 Boss UB）；世界線A及TP4.0–4.4版本只作風險備註""],""operation_mode_claims"":[{""mode"":""SEMI_AUTO"",""source_id"":""yt_w3My0QHcoTA""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-W810-02-EV085""}",VERIFIED,單一實戰,yt_w3My0QHcoTA,ev085;ev091;ev092;ev093;ev094;ev095;ev096;ev097;ev098;ev103;ev104,PASS,2026-08-08,2026-09-30,【僅供參考】台服單一玩家實戰：Boss HP=0/270000000且剩0:22；來源聲明半A，故為SEMI_AUTO；單一來源上限D，逐slot需求維持UNKNOWN
TM-W810-03,TW_DEEP_WATER_08_10_20260808,TW,8-10,yukino_orig,ames_sum,labyrista_alpha,sono_orig,violet_isanami,,AUTO,"{""failure_conditions"":[""來源全域養成：全屬性Lv1000、屬性技能第6頁第8分流MAX、大師技能118、職階全5.5；未逐slot歸屬"",""來源僅明示OXOOX與AUTO ON；O／X不拆成逐slot養成事實"",""逐slot星級、RANK、UE與TP需求UNKNOWN""],""operation_mode_claims"":[{""mode"":""AUTO"",""source_id"":""yt_w3My0QHcoTA""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-W810-03-EV086""}",VERIFIED,單一實戰,yt_w3My0QHcoTA,ev086;ev091;ev092;ev093;ev094;ev095;ev096;ev103;ev104;ev105;ev106,PASS,2026-08-08,2026-09-30,【僅供參考】台服單一玩家實戰：Boss HP=0/270000000且剩0:03；社群俗稱阿法晶正規化為拉比林斯達（始源）；全自動單一來源上限D
TM-W810-04,TW_DEEP_WATER_08_10_20260808,TW,8-10,yukino_orig,ames_sum,sono_orig,nanaka_sum,violet_isanami,,AUTO,"{""failure_conditions"":[""來源全域養成：全屬性Lv1000、屬性技能第6頁第8分流MAX、大師技能118、職階全5.5；未逐slot歸屬"",""來源僅明示OOOXO與AUTO ON；O／X不拆成逐slot養成事實"",""逐slot星級、RANK、UE與TP需求UNKNOWN""],""operation_mode_claims"":[{""mode"":""AUTO"",""source_id"":""yt_w3My0QHcoTA""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-W810-04-EV087""}",VERIFIED,單一實戰,yt_w3My0QHcoTA,ev087;ev091;ev092;ev093;ev094;ev095;ev096;ev099;ev100;ev103;ev104,PASS,2026-08-08,2026-09-30,【僅供參考】台服單一玩家實戰：Boss HP=0/270000000且剩0:05，隨後Now Loading；全自動單一來源上限D
TM-W810-05,TW_DEEP_WATER_08_10_20260808,TW,8-10,yukino_orig,ames_sum,misora_xmas,sono_orig,violet_isanami,,AUTO,"{""failure_conditions"":[""來源全域養成：全屬性Lv1000、屬性技能第6頁第8分流MAX、大師技能118、職階全5.5；未逐slot歸屬"",""來源明示全SET；另稱OXOOO亦可，但不將O／X拆成逐slot養成事實"",""逐slot星級、RANK、UE與TP需求UNKNOWN""],""operation_mode_claims"":[{""mode"":""AUTO"",""source_id"":""yt_w3My0QHcoTA""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-W810-05-EV088""}",VERIFIED,單一實戰,yt_w3My0QHcoTA,ev088;ev091;ev092;ev093;ev094;ev095;ev096;ev101;ev102;ev103;ev104,PASS,2026-08-08,2026-09-30,【僅供參考】台服單一玩家實戰：Boss HP=0/270000000且剩0:17；來源聲明全SET全自動，另列OXOOO可行；單一來源上限D
TM-F810-04,TW_DEEP_FIRE_08_10_20260802,TW,紅焰8-10,lailael_xmas,croce_aerial,vurm_orig,anne_grea_orig,yui_xmas,,UNKNOWN,"{""failure_conditions"":[""UNKNOWN""],""operation_mode_claims"":[{""mode"":""UNKNOWN"",""source_id"":""yt_p95ZoBCWuYE""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-F810-04-EV082""}",VERIFIED,單一實戰,yt_p95ZoBCWuYE,ev057;ev058;ev060;ev076;ev078;ev079;ev082,PASS,2026-08-08,2026-09-30,【僅供參考】ev082 實開影片明示火8-10、完整五人與 Boss HP 歸零；單一玩家實戰故上限 D；AUTO／SET 畫面不足以證明全程操作模式，故 operation_mode 與逐 slot 條件均維持 UNKNOWN
TM-F810-05,TW_DEEP_FIRE_08_10_20260802,TW,紅焰8-10,croce_aerial,vurm_orig,mio_ngs,anne_grea_orig,yui_xmas,,SEMI_AUTO,"{""failure_conditions"":[""來源全域條件：克蘿茜（航空）／烏爾姆／未央（NGs）／安＆古蕾婭＝貫通24、魔攻8%；屬性Lv1000；技能頁6末；MS83；職責TP5.5／全體5.3；未逐slot歸屬"",""來源只寫優衣（聖誕節）＝適当，精確條件 UNKNOWN""],""operation_mode_claims"":[{""mode"":""SEMI_AUTO"",""source_id"":""yt_Zw31omyYDKI""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-F810-05-EV083""}",VERIFIED,單一實戰,yt_Zw31omyYDKI,ev057;ev060;ev076;ev078;ev079;ev080;ev081;ev083,PASS,2026-08-08,2026-09-30,【僅供參考】ev083 實開影片顯示火8-10完整五人與勝利並聲明 SEMI_AUTO；來源全域養成條件僅保留在 failure_conditions，不臆測拆填逐 slot；來源操作文字中不明確的 actor／action 以 SOURCE_TEXT_ONLY／NO_ACTION 保存
TM-F810-01,TW_DEEP_FIRE_08_10_20260802,TW,紅焰8-10,luisemarie_orig,lailael_xmas,croce_aerial,vurm_orig,lind_orig,,SOURCE_CONFLICT,"{""failure_conditions"":[""UNKNOWN""],""operation_mode_claims"":[{""mode"":""AUTO"",""source_id"":""appmatch_fire_guide""},{""mode"":""SEMI_AUTO"",""source_id"":""yt_jkPXr3aUZZQ""},{""mode"":""SEMI_AUTO"",""source_id"":""yt_tYwLvHHbKXo""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""yt_tYwLvHHbKXo=lind_orig borrowed; other sources=UNKNOWN"",""unit"":""SOURCE_CONFLICT""},""timeline_ref"":""AX-F810-01-EV050;AX-F810-01-EV052;AX-F810-01-EV069""}",VERIFIED,多來源交叉驗證,appmatch_fire_guide;yt_jkPXr3aUZZQ;yt_tYwLvHHbKXo,ev050;ev052;ev056;ev057;ev058;ev059;ev060;ev069,PASS,2026-08-08,2026-09-30,兩支已實開影片均顯示同一五人與通關；相同五人只計一隊；appmatch=AUTO 與影片 SEMI_AUTO 聲明衝突故維持 SOURCE_CONFLICT；逐 slot 未知條件全保留 UNKNOWN；tYw 來源顯示琳德為借角
TM-F810-02,TW_DEEP_FIRE_08_10_20260802,TW,紅焰8-10,shizuru_valentine,lailael_xmas,croce_aerial,vurm_orig,luisemarie_orig,,SEMI_AUTO,"{""failure_conditions"":[""UNKNOWN""],""operation_mode_claims"":[{""mode"":""SEMI_AUTO"",""source_id"":""yt_F39PkRIg0T4""},{""mode"":""SEMI_AUTO"",""source_id"":""yt_OtiJrk3jacg""},{""mode"":""SEMI_AUTO"",""source_id"":""yt_i4pE3GxTMMA""},{""mode"":""SEMI_AUTO"",""source_id"":""gamewith_fire_8_10""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""UNKNOWN"",""unit"":""UNKNOWN""},""timeline_ref"":""AX-F810-02-EV070;AX-F810-02-EV071;AX-F810-02-EV072;AX-F810-02-EV073""}",VERIFIED,多來源交叉驗證,yt_F39PkRIg0T4;yt_OtiJrk3jacg;yt_i4pE3GxTMMA;gamewith_fire_8_10,ev056;ev057;ev058;ev060;ev070;ev071;ev072;ev073;ev074;ev075,PASS,2026-08-08,2026-09-30,三支已實開影片與 GameWith 均為同五人；影片有勝利畫面且台服創作者 ev071 實戰可交叉；操作含 SET 切換故歸 SEMI_AUTO；泛化 Lv／RANK 不拆填逐 slot
TM-F810-03,TW_DEEP_FIRE_08_10_20260802,TW,紅焰8-10,maho_summer,lailael_xmas,croce_aerial,vurm_orig,yui_xmas,slot3,SEMI_AUTO,"{""failure_conditions"":[""UNKNOWN""],""operation_mode_claims"":[{""mode"":""SEMI_AUTO"",""source_id"":""yt_ZXUDJm_AsSA""}],""schema_version"":""1.0"",""slots"":{""slot1"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot2"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot3"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot4"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""},""slot5"":{""connect_rank"":""UNKNOWN"",""element_boost"":""UNKNOWN"",""rank"":""UNKNOWN"",""six_star"":""UNKNOWN"",""star"":""UNKNOWN"",""ue1"":""UNKNOWN"",""ue2"":""UNKNOWN""}},""support"":{""requirements"":""yt_ZXUDJm_AsSA=borrowed Croce (Aerial); exact build UNKNOWN"",""unit"":""croce_aerial""},""timeline_ref"":""AX-F810-03-EV051""}",VERIFIED,單一實戰,yt_ZXUDJm_AsSA;gamewith_fire_8_10,ev051;ev057;ev058;ev060;ev073;ev075;ev076,PASS,2026-08-08,2026-09-30,【僅供參考】已實開影片標題明示火8-10與克蘿茜借角；00:12 完整五人且 03:15 顯示角色 EXP／等級上升與取得報酬的通關後 UI；ev051 單獨支撐通關且上限 D；ev073 僅交叉辨識角色圖示／版本；操作需 AUTO／SET 切換故歸 SEMI_AUTO
