claim_id,module,server,claim_text,claim_type,claim_confidence,evidence_ids,independence_check,version_match,status,verified_date,next_review_due,affected_files,notes
CLM-ANCHOR-WAKANA,baseline,CROSS_SERVER_FORECAST,若菜（冬日）錨點：日 2026/03/03 → 台 2026/07/03 ＝122 天,SOURCE_FACT,A,ev001;ev002,YES,YES,SUPERSEDED,2026-07-16,2026-08-31,02;12,雙邊官方｜【R3h Phase F】已由 canonical anchor objects 與 CLM-GAP-LIMITED／PERMANENT／ALL-NEW／SYSTEM 取代，不再作 current SSOT
CLM-ANCHOR-EXPT,baseline,CROSS_SERVER_FORECAST,交換Pt 機制錨點：日 2025/12/31 → 台 2026/03/16 ＝75 天,SOURCE_FACT,A,ev003;ev004,YES,YES,SUPERSEDED,2026-07-16,2026-08-31,02,系統軌樣本｜【R3h Phase F】已由 canonical anchor objects 與 CLM-GAP-LIMITED／PERMANENT／ALL-NEW／SYSTEM 取代，不再作 current SSOT
CLM-ANCHOR-SHIORI,baseline,CROSS_SERVER_FORECAST,栞（冬日）錨點：日 2026/03/16 → 台 2026/07/17 ＝123 天,SOURCE_FACT,A,ev027;ev028,YES,YES,SUPERSEDED,2026-07-18,2026-08-31,02;12,台側 2026-07-18 稽核官方直頁確認（池期 07/17–08/01）｜【R3h Phase F】已由 canonical anchor objects 與 CLM-GAP-LIMITED／PERMANENT／ALL-NEW／SYSTEM 取代，不再作 current SSOT
CLM-GAP-POOLTRACK,baseline,CROSS_SERVER_FORECAST,卡池軌差距中位數 122.5 天（n=2、離散 1 天）；信心中,DERIVED_CALCULATION,A,ev001;ev002;ev027;ev028,YES,YES,SUPERSEDED,2026-07-17,2026-08-31,02;40;41,"由錨點 1、3 推導之統計；A 級輸入的確定性計算（median([122,123])=122.5），不代表官方曾直接公布此統計｜【R3h Phase F】已由 canonical anchor objects 與 CLM-GAP-LIMITED／PERMANENT／ALL-NEW／SYSTEM 取代，不再作 current SSOT"
CLM-GAP-SYSTRACK,baseline,CROSS_SERVER_FORECAST,系統軌差距 75 天（n=1）；信心低,DERIVED_CALCULATION,A,ev003;ev004,YES,YES,SUPERSEDED,2026-07-17,2026-08-31,02,樣本 1；A 級輸入的確定性計算（n=1 單值=75），不代表官方曾直接公布此統計｜【R3h Phase F】已由 canonical anchor objects 與 CLM-GAP-LIMITED／PERMANENT／ALL-NEW／SYSTEM 取代，不再作 current SSOT
CLM-PITY-200,gacha,CROSS_SERVER_FORECAST,保底＝角色交換Pt 200Pt（雙邊官方）,SOURCE_FACT,A,ev003;ev004,YES,YES,ACTIVE,2026-07-16,2026-10-31,03;43,—
CLM-PITY-HIST300,gacha,JP,2019 年日服舊制 300Pt,SOURCE_FACT,A,ev005,N_A,YES,ACTIVE,2026-07-16,—,03;43,變更日期待查
CLM-PULL-COST-150,gacha,JP,單抽 150 寶石,SOURCE_FACT,D,ev036,NO,YES,ACTIVE,2026-07-16,2026-08-31,43,F03 修正：單一大型攻略站；台服遊戲內／官方可升 A
CLM-DEEP-JPNAME,glossary,JP,深域クエスト正式名＋借角規則（1 名支援、次數無上限）,SOURCE_FACT,A,ev006,N_A,YES,ACTIVE,2026-07-16,—,03;20,—
CLM-TW-DEEP-LAUNCH,baseline,TW,台服深域 2024/6 實裝（同捆屬性／同步／大師碎片）,SOURCE_FACT,A,ev007,N_A,YES,ACTIVE,2026-07-16,—,02;03,—
