unit_key,tw_name,jp_name,version,tw_release_date,availability_status,ue1_status,ue2_status,six_star_status,connect_rank_status,element,source_evidence_ids,last_verified,last_review_due,notes
shiori_win,栞（冬日）,シオリ（ウィンター）,冬日,2026-07-17,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev027;ev028,2026-08-02,2026-09-30,實裝日 A/A（02 錨點#3）；強化欄位待逐項查證
wakana_win,若菜（冬日）,ワカナ（ウィンター）,冬日,2026-07-04,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev001;ev002,2026-08-04,2026-09-30,實裝日＝開池日 2026-07-04（#3925 R3g 實開；公告日 07/03，兩者不得混用）；canonical anchor POOL-WAKANA-WINTER
grace_bunny,格蕾斯（兔女郎）,グレイス（バニー）,兔女郎,2026-08-01,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev044,2026-08-02,2026-08-31,2026-08-02 官方直頁 #3963 完整抓取；日文對應待日服側確認
neya_orig,涅婭,【待查證】,原版,,AVAILABLE,UNVERIFIED,UNVERIFIED,AVAILABLE,UNVERIFIED,待查證,ev041,2026-08-02,2026-09-30,★6 才能開花 2026/06/15 官方（#3895）；羅馬拼音暫定；實裝日待查
pecorine_ny,貪吃佩可（新年）,ペコリーヌ（ニューイヤー）,新年,,AVAILABLE,UNVERIFIED,AVAILABLE,UNVERIFIED,UNVERIFIED,待查證,ev030,2026-08-02,2026-09-30,專2 2026/07/17 官方（ev030）；實裝日待查
kokkoro_ny,可可蘿（新年）,コッコロ（ニューイヤー）,新年,,AVAILABLE,UNVERIFIED,AVAILABLE,UNVERIFIED,UNVERIFIED,待查證,ev030,2026-08-02,2026-09-30,同上
kyaru_ny,凱留（新年）,キャル（ニューイヤー）,新年,,AVAILABLE,UNVERIFIED,AVAILABLE,UNVERIFIED,UNVERIFIED,待查證,ev030,2026-08-02,2026-09-30,同上
luisemarie_orig,露易絲瑪莉,ルイズマリー,原版,2025-09-04,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev056,2026-08-02,2026-09-30,On-Demand（火8-10候補隊）；實裝日OFFICIAL/A（#3529）；期間限定角；強化欄待逐項查證
croce_aerial,克蘿茜（航空）,クローチェ（エアリアル）,航空,2025-08-09,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev057,2026-08-02,2026-09-30,On-Demand（火8-10候補隊）；實裝日OFFICIAL/A（#3500）；台日映射見CLM-LOC-CROCE-AERIAL（ANALYTICAL_JUDGMENT／B，ev057+ev065 雙官方host）
lailael_xmas,萊拉耶爾（聖誕節）,ライラエル（クリスマス）,聖誕節,2025-04-01,AVAILABLE,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev058;ev077,2026-08-08,2026-09-30,On-Demand（火8-10候補隊）；實裝日OFFICIAL/A（#3313）；台服官方譯名已確立；台日映射＝CLM-LOC-LAILAEL-XMAS（B，ev058+ev066）；UE1＝AVAILABLE（#3805・2026/04/10 16:00 起追加），等級需求仍 UNKNOWN
lind_orig,琳德,リンド,原版,2025-02-10,AVAILABLE,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev059;ev062,2026-08-03,2026-09-30,On-Demand（火8-10候補隊）；實裝日OFFICIAL/A（#3247）；常駐角非期間限定；台日映射已建立＝CLM-LOC-LIND（ANALYTICAL_JUDGMENT／B，ev059+ev063）；UE1＝AVAILABLE（#3742・2026-02-22起）惟等級需求未知
vurm_orig,烏爾姆,ヴルム,原版,2025-02-17,AVAILABLE,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev060;ev062,2026-08-03,2026-09-30,On-Demand（火8-10候補隊）；實裝日OFFICIAL/A（#3257）；常駐角非期間限定；台日映射已建立＝CLM-LOC-VURM（ANALYTICAL_JUDGMENT／B，ev060+ev064）；UE1＝AVAILABLE（#3742・2026-02-22起）惟等級需求未知
shizuru_valentine,靜流（情人節）,シズル（バレンタイン）,情人節,,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev074;ev075,2026-08-08,2026-09-30,On-Demand（火8-10 TM-F810-02）；台服官方 #3873／#2873 實開並列為可取得角色，故 AVAILABLE；原始實裝日與逐項強化仍 UNKNOWN；台日映射＝CLM-LOC-SHIZURU-VALENTINE（B）
maho_summer,真步（夏日）,マホ（サマー）,夏日,,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev075,2026-08-08,2026-09-30,On-Demand（火8-10 TM-F810-03）；台服官方 #2873 實開並列入火屬性限定角色候補，故 AVAILABLE；原始實裝日與逐項強化仍 UNKNOWN；台日映射＝CLM-LOC-MAHO-SUMMER（B）
yui_xmas,優衣（聖誕節）,ユイ（クリスマス）,聖誕節,2026-04-01,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev076,2026-08-08,2026-09-30,On-Demand（火8-10 TM-F810-03）；台服官方 #3795 實開，2026/04/01 16:00 期間限定實裝；逐項強化仍 UNKNOWN；台日映射＝CLM-LOC-YUI-XMAS（B）
anne_grea_orig,安＆古蕾婭,アン＆グレア,原版,2023-05-04,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev078;ev079,2026-08-08,2026-09-30,On-Demand（火8-10 TM-F810-04／05）；台服官方 #2246 實開，2023/05/04 16:00 公主祭典期間限定實裝；台日映射＝CLM-LOC-ANNE-GREA（B）；逐項強化仍 UNKNOWN
mio_ngs,未央（NGs）,ミオ（デレマス）,NGs,,AVAILABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,待查證,ev080;ev081,2026-08-08,2026-09-30,On-Demand（火8-10 TM-F810-05）；台服官方 #3802 實開並明示 2026/04/11 復刻活動可成為夥伴，故目前 AVAILABLE；不是初次實裝公告所以日期留空；跨服映射＝CLM-LOC-MIO-NGS（B）；逐項強化仍 UNKNOWN
